bos_len,fib_618,fib_786,min_align,require_s2,n,stop_rate,tp1_dest,tp1_bos,ev_dest,ev_bos,ev_split,ev_new_struct,ev_best,best_exit,fvg_stop_pct
14,0.5,0.786,2,False,55,0.9454545454545454,0.3090909090909091,0.34545454545454546,1.9508440768564237,0.4484763266383077,1.1309387936751905,0.4484763266383077,1.9508440768564237,ev_dest,0.32727272727272727
14,0.618,0.786,2,False,34,1.0,0.23529411764705882,0.29411764705882354,1.8763018007083487,0.4885273193689989,1.111307447846407,0.4885273193689989,1.8763018007083487,ev_dest,0.38235294117647056
14,0.5,0.85,2,False,71,0.9577464788732394,0.30985915492957744,0.38028169014084506,1.3062671710817964,0.2868499694060784,0.6983195488242893,0.2868499694060784,1.3062671710817964,ev_dest,0.4225352112676056
14,0.618,0.85,2,False,50,1.0,0.26,0.34,1.193352517510073,0.2866321997668239,0.6493103536374828,0.2866321997668239,1.193352517510073,ev_dest,0.44
14,0.5,0.9,2,False,84,0.9642857142857143,0.32142857142857145,0.44047619047619047,1.081679409519966,0.2783945715055226,0.549491258962445,0.2783945715055226,1.081679409519966,ev_dest,0.4523809523809524
14,0.618,0.9,2,False,63,1.0,0.2698412698412698,0.42857142857142855,0.8736122396899411,0.31280510937588685,0.42810565193626154,0.31280510937588685,0.8736122396899411,ev_dest,0.47619047619047616
7,0.5,0.786,2,False,56,0.9642857142857143,0.2857142857142857,0.4642857142857143,0.8179768576869824,0.5328106033015994,0.2834755306015332,0.5328106033015994,0.8179768576869824,ev_dest,0.4642857142857143
5,0.5,0.786,2,False,42,0.9761904761904762,0.23809523809523808,0.38095238095238093,0.7171054464265219,0.1842583742642144,0.220213433087627,0.1842583742642144,0.7171054464265219,ev_dest,0.42857142857142855
7,0.5,0.9,2,False,84,0.9642857142857143,0.2857142857142857,0.4523809523809524,0.6894328427363839,0.20596971627014699,0.19022126024095687,0.20596971627014699,0.6894328427363839,ev_dest,0.5
7,0.618,0.786,2,False,38,0.9736842105263158,0.21052631578947367,0.42105263157894735,0.6650112390998151,0.6329581236320657,0.15461767887863023,0.6329581236320657,0.6650112390998151,ev_dest,0.42105263157894735
